"concentration" "sp"
"1" 13.7565864535316 "a"
"2" 14.1283980525286 "a"
"3" 11.6720900559568 "a"
"4" 10.6395084796117 "a"
"5" 13.8176623675212 "a"
"6" 6.54613209688881 "a"
"7" 13.8902956532052 "a"
"8" 11.1714476843244 "a"
"9" 11.1475207681699 "a"
"10" 9.24203399257761 "a"
"11" 11.651256580944 "a"
"12" 17.4519361311127 "a"
"13" 13.1118835927739 "a"
"14" 13.5606493726649 "a"
"15" 9.74840401649301 "a"
"16" 14.4506995185618 "a"
"17" 9.34092743627036 "a"
"18" 11.0052672301723 "a"
"19" 15.3621379550087 "a"
"20" 12.8961710978019 "a"
"21" 14.338865773666 "a"
"22" 16.3673552474306 "a"
"23" 10.0670147123061 "a"
"24" 7.34058778431094 "a"
"25" 7.20687144991106 "a"
"26" 17.4152925564325 "a"
"27" 10.5550579089161 "a"
"28" 13.8611394038953 "a"
"29" 13.8363704779525 "a"
"30" 11.5130670692456 "a"
"31" 14.4356195356616 "a"
"32" 18.5905006390426 "a"
"33" 18.1475710122186 "a"
"34" 16.8973369184414 "a"
"35" 12.7628135784422 "a"
"36" 13.4735648378177 "a"
"37" 11.0277402637886 "a"
"38" 7.0138492684241 "a"
"39" 17.3032015526189 "a"
"40" 12.0774031459434 "a"
"41" 15.3855325007705 "a"
"42" 4.85892581580887 "a"
"43" 8.81920334354241 "a"
"44" 14.8114216205487 "a"
"45" 14.5633551609917 "a"
"46" 16.3821882093123 "a"
"47" 7.76070366633242 "a"
"48" 13.7022097602734 "a"
"49" 13.7495629603071 "a"
"50" 8.07960349960673 "a"
"51" 10.3788417784137 "a"
"52" 17.8430779941961 "a"
"53" 12.1607708110724 "a"
"54" 13.0549885216657 "a"
"55" 9.98707038301819 "a"
"56" 12.8338610844184 "a"
"57" 14.0735138186247 "a"
"58" 14.4713859861183 "a"
"59" 18.4351950614409 "a"
"60" 4.95916806490988 "a"
"61" 12.4487759418456 "a"
"62" 7.97240555481137 "a"
"63" 13.6599092265117 "a"
"64" 16.7698885280862 "a"
"65" 10.2393612168387 "a"
"66" 6.5028680813718 "a"
"67" 14.6644182979561 "a"
"68" 16.7804654170688 "a"
"69" 13.5505640119872 "a"
"70" 8.11298495911553 "a"
"71" 12.1638467259881 "a"
"72" 9.64605188042537 "a"
"73" 8.8519415431312 "a"
"74" 18.9915358872141 "a"
"75" 16.2081161486023 "a"
"76" 14.8278025520746 "a"
"77" 14.4787748614573 "a"
"78" 9.56537852942676 "a"
"79" 13.428744842261 "a"
"80" 15.0637752224433 "a"
"81" 13.9361492226182 "a"
"82" 15.1294306546543 "a"
"83" 11.086892661919 "a"
"84" 19.4313327508889 "a"
"85" 14.9136620191123 "a"
"86" 17.6012975537002 "a"
"87" 14.0161274070444 "a"
"88" 11.076139857488 "a"
"89" 13.6095711501326 "a"
"90" 14.474610196055 "a"
"91" 9.10829556295859 "a"
"92" 9.43475246670063 "a"
"93" 17.660840826077 "a"
"94" 10.8245418840145 "a"
"95" 9.05810115315004 "a"
"96" 14.0619963016711 "a"
"97" 10.4848694474373 "a"
"98" 18.4731594495192 "a"
"99" 10.2006073085255 "a"
"100" 9.91635992018775 "a"
"101" 12.6717762225639 "a"
"102" 8.53133000927768 "a"
"103" 13.267255583361 "a"
"104" 8.02573423245322 "a"
"105" 12.4232529385809 "a"
"106" 10.3918560045272 "a"
"107" 11.0651817462656 "a"
"108" 16.6683289278038 "a"
"109" 10.6559001261166 "a"
"110" 12.9633706124819 "a"
"111" 8.30948325935943 "a"
"112" 8.02782392353754 "a"
"113" 15.7837268231649 "a"
"114" 15.957695158927 "a"
"115" 11.7577387158959 "a"
"116" 10.4847305811855 "a"
"117" 11.843539220009 "a"
"118" 13.8865818753253 "a"
"119" 18.5400071924545 "a"
"120" 11.7929480804424 "a"
"121" 16.6345908061128 "a"
"122" 15.9643560514879 "a"
"123" 12.9664547260884 "a"
"124" 16.5928653592055 "a"
"125" 10.7362809199843 "a"
"126" 8.52353693154559 "a"
"127" 6.4638951317356 "a"
"128" 15.4719758611714 "a"
"129" 5.62935035695573 "a"
"130" 8.41190544566751 "a"
"131" 16.926575972302 "a"
"132" 14.650964499486 "a"
"133" 13.5746276731078 "a"
"134" 8.44602280310768 "a"
"135" 19.9673648164284 "a"
"136" 8.85625886934507 "a"
"137" 8.96663242914289 "a"
"138" 14.006764957543 "a"
"139" 12.3875318810286 "a"
"140" 10.7322693988395 "a"
"141" 8.57920756545562 "a"
"142" 8.11885412990238 "a"
"143" 10.2159036927873 "a"
"144" 7.49755775933749 "a"
"145" 12.0475670791967 "a"
"146" 13.6205087030767 "a"
"147" 7.35812409886291 "a"
"148" 14.5489587897853 "a"
"149" 14.6880395529973 "a"
"150" 12.4160729904292 "a"
"151" 7.14201503290159 "a"
"152" 13.6451937690432 "a"
"153" 12.5858464614338 "a"
"154" 9.58050601570959 "a"
"155" 11.6741272943786 "a"
"156" 11.2471601284431 "a"
"157" 17.0980400055995 "a"
"158" 10.9671036112051 "a"
"159" 12.2033161842127 "a"
"160" 10.0482908194378 "a"
"161" 10.5370844543907 "a"
"162" 12.909453711773 "a"
"163" 11.2740779411122 "a"
"164" 10.5547992974943 "a"
"165" 9.02459140722982 "a"
"166" 11.1580525835867 "a"
"167" 13.8990520325405 "a"
"168" 8.28054497067642 "a"
"169" 17.292942206983 "a"
"170" 11.928960335541 "a"
"171" 12.5997614514823 "a"
"172" 16.04157833292 "a"
"173" 12.1082204633991 "a"
"174" 14.4737433917002 "a"
"175" 6.89198444518194 "a"
"176" 13.442850465803 "a"
"177" 19.4506502679788 "a"
"178" 13.2040949625168 "a"
"179" 12.6455315122411 "a"
"180" 6.5528629412916 "a"
"181" 9.26478172730137 "a"
"182" 11.8528659274391 "a"
"183" 10.7838375699546 "a"
"184" 15.3911453935406 "a"
"185" 14.4463942052177 "a"
"186" 12.2292525571444 "a"
"187" 16.3612420537492 "a"
"188" 13.1223632503088 "a"
"189" 11.4872878327423 "a"
"190" 10.4933615644485 "a"
"191" 13.6305663238219 "a"
"192" 10.4844419914451 "a"
"193" 14.360387368206 "a"
"194" 12.9028482048253 "a"
"195" 15.9306717202421 "a"
"196" 14.3953013108163 "a"
"197" 14.5525813128433 "a"
"198" 10.6692960957159 "a"
"199" 10.6596756371713 "a"
"200" 12.0399151253285 "a"
"201" 7.69156288131878 "a"
"202" 10.1122210582116 "a"
"203" 12.730565296876 "a"
"204" 15.1750867000379 "a"
