"dah" "riverI" "riverI2" "corrf" "corr"
"1" 28.6810430351502 "Degebe" 1 "high" 9.138034847565
"2" 24.916800899375 "Degebe" 1 "high" 7.01105545274913
"3" 15.3007332240209 "Degebe" 1 "median" 5.14612728264183
"4" 16.0128084085565 "Degebe" 1 "low" 1.66749360505491
"5" 27.1967707055251 "Degebe" 1 "high" 7.31886940309778
"6" 25.0124244901702 "Degebe" 1 "high" 9.40616786945611
"7" 24.7949222134885 "Degebe" 1 "median" 3.90238460153341
"8" 5.64433393637923 "Degebe" 1 "low" 0.566426573786885
"9" 18.4656071259818 "Degebe" 1 "low" 2.52319438382983
"10" 15.2881228601608 "Degebe" 1 "low" 2.87245243554935
"11" 20.8755233777303 "Vascão" 2 "low" 1.58853894332424
"12" 22.3573579415677 "Vascão" 2 "median" 5.76965254032984
"13" 19.5229574737718 "Vascão" 2 "low" 1.97046032641083
"14" 28.1583516080674 "Vascão" 2 "high" 9.0133293857798
"15" 23.3168359026961 "Vascão" 2 "low" 2.497416685801
"16" 18.0532331233019 "Vascão" 2 "low" 1.03259456576779
"17" 19.6855886853741 "Vascão" 2 "median" 4.67507027322426
"18" 20.2280848164355 "Vascão" 2 "low" 2.50834390055388
"19" 24.1346246081259 "Vascão" 2 "median" 6.02805620292202
"20" 21.9646807089775 "Vascão" 2 "low" 2.57987568620592
"21" 15.280234524064 "Odelouca" 3 "low" 2.20817569410428
"22" 22.2743296251473 "Odelouca" 3 "low" 2.21464922651649
"23" 23.5402683686962 "Odelouca" 3 "low" 0.743815216701478
"24" 17.3233490631096 "Odelouca" 3 "low" 2.04472044249997
"25" 30.0057963014274 "Odelouca" 3 "high" 6.95250599877909
"26" 21.7443688144889 "Odelouca" 3 "low" 2.99731392180547
"27" 36.4372585906501 "Odelouca" 3 "high" 7.57057631853968
"28" 19.3782982272498 "Odelouca" 3 "median" 4.91124668857083
"29" 26.831074887037 "Odelouca" 3 "high" 6.77243878133595
"30" 21.0165883131059 "Odelouca" 3 "median" 6.14022280788049
"31" 30.6603193170413 "Lucefecit" 4 "low" 1.22904993128031
"32" 27.8633129627521 "Lucefecit" 4 "low" 0.281160669401288
"33" 34.85988045146 "Lucefecit" 4 "high" 8.991881783586
"34" 26.0935911553579 "Lucefecit" 4 "low" 0.961836276110262
"35" 29.3399246160013 "Lucefecit" 4 "low" 1.44975024741143
"36" 29.3083311838121 "Lucefecit" 4 "low" 1.50479355361313
"37" 35.1272876828258 "Lucefecit" 4 "median" 5.1682816282846
"38" 28.1049849842064 "Lucefecit" 4 "low" 1.28218226833269
"39" 33.8082054072796 "Lucefecit" 4 "high" 7.49685902148485
"40" 32.2273752291617 "Lucefecit" 4 "low" 1.97214877232909
"41" 11.1470455373768 "Ardila" 5 "median" 4.63003277080134
"42" 2.96606375833106 "Ardila" 5 "low" 2.43608736665919
"43" 9.84052455375283 "Ardila" 5 "median" 4.219036817085
"44" 13.3461696634772 "Ardila" 5 "median" 3.41580259148031
"45" 17.960885393975 "Ardila" 5 "high" 9.25245370715857
"46" 13.5965685203077 "Ardila" 5 "high" 7.54665584303439
"47" 6.71600737940129 "Ardila" 5 "median" 4.18328801868483
"48" 6.9865826559626 "Ardila" 5 "low" 0.44650086434558
"49" 9.5472237940687 "Ardila" 5 "median" 3.82108477409929
"50" 1.66874518783866 "Ardila" 5 "low" 1.26833928981796
"51" 26.3518058822875 "Caia" 6 "median" 6.04409494437277
"52" 36.939950291444 "Caia" 6 "high" 8.92134871799499
"53" 25.8271758213678 "Caia" 6 "median" 4.01292838621885
"54" 27.5891135602006 "Caia" 6 "median" 4.68839953420684
"55" 27.6025757439616 "Caia" 6 "median" 3.82750241318718
"56" 24.4061269194107 "Caia" 6 "median" 6.53917486546561
"57" 20.71464796894 "Caia" 6 "median" 5.7075750338845
"58" 25.3356056931521 "Caia" 6 "low" 0.18308142432943
"59" 19.9071337717414 "Caia" 6 "low" 3.27086659613997
"60" 20.7755967239876 "Caia" 6 "median" 6.44720387645066
"61" 27.1516292026103 "Guadiana" 7 "high" 7.13704446097836
"62" 28.9748385824185 "Guadiana" 7 "high" 8.01399280782789
"63" 26.323849621406 "Guadiana" 7 "low" 2.76090054307133
"64" 16.7466033196475 "Guadiana" 7 "median" 6.1652820603922
"65" 15.6925855631896 "Guadiana" 7 "low" 1.65603120112792
"66" 16.2821219402972 "Guadiana" 7 "low" 3.21811924455687
"67" 28.7062518585475 "Guadiana" 7 "high" 9.86599418334663
"68" 27.402876303144 "Guadiana" 7 "high" 9.67417701613158
"69" 27.8500243141948 "Guadiana" 7 "high" 9.22284977277741
"70" 25.370652365019 "Guadiana" 7 "high" 8.55082068126649
